GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-2-hello-world,com.example.helloworld.chambeaya.tarjeta,TarjetaServiceImpl,44,0,2,0,14,0,7,0,6,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.tarjeta,TarjetaController,30,0,0,0,10,0,6,0,6,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.gasto.model,Gasto,46,0,0,0,7,0,10,0,10,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.tarjeta.model,Tarjeta,86,0,0,0,11,0,18,0,18,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.gasto,GastoServiceImpl,44,0,2,0,14,0,7,0,6,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.gasto,GastoController,30,0,0,0,10,0,6,0,6,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.invoke,InvokeRemoteRestServiceImpl,25,0,0,0,5,0,2,0,2,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.anuncio.model,ResultRequest,89,0,14,0,4,0,15,0,8,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.anuncio.model,Anuncio,96,0,0,0,12,0,20,0,20,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.Persona.model,PersonaController,25,0,0,0,9,0,5,0,5,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.Persona.model,PersonaServiceImpl,39,0,2,0,13,0,6,0,5,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.Persona.model,Persona,116,0,0,0,14,0,24,0,24,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.anuncio,AnuncioController,46,0,2,0,13,0,6,0,5,0
spring-boot-2-hello-world,com.example.helloworld.chambeaya.anuncio,AnuncioServiceImpl,39,0,2,0,13,0,6,0,5,0
spring-boot-2-hello-world,com.example.helloworld.utilerias,Digestion,59,0,2,0,15,0,4,0,3,0
spring-boot-2-hello-world,com.example.helloworld,WebMvcConfig,49,0,0,0,8,0,3,0,3,0
spring-boot-2-hello-world,com.example.helloworld,SwaggerConfig,14,0,0,0,6,0,2,0,2,0
spring-boot-2-hello-world,com.example.helloworld,App,8,0,0,0,3,0,2,0,2,0
